"RESPNUM"	"CCGID"	"TERM"	"STRATA"	"ATYPE"	"AIRLINE"	"DEST"	"GATENUM"	"INTDATE"	"Q1"	"Q2_1"	"Q2_2"	"Q2_3"	"Q2_4"	"Q2_5"	"Q2_6"	"Q3_1"	"Q3_2"	"Q3_3"	"Q3_4"	"Q3_5"	"Q3_6"	"Q3A"	"Q4A"	"Q4B"	"Q4C"	"Q5"	"Q5AVG"	"SAQ"	"Q6A"	"Q6B"	"Q6C"	"Q6D"	"Q6E"	"Q6F"	"Q6G"	"Q6H"	"Q6I"	"Q6J"	"Q6K"	"Q6L"	"Q6M"	"Q6N"	"Q7COM1"	"Q7COM2"	"Q7COM3"	"Q7A1"	"Q7A2"	"Q7A3"	"Q8A"	"Q8B"	"Q8C"	"Q8D"	"Q8E"	"Q8F"	"Q8COM1"	"Q8COM2"	"Q8COM3"	"Q9"	"Q9APOS1"	"Q9APOS2"	"Q9APOS3"	"Q9ANEG1"	"Q9ANEG2"	"Q9ANEG3"	"Q9ANTR1"	"Q9ANTR2"	"Q9ANTR3"	"Q10"	"Q11"	"Q11A1"	"Q11A2"	"Q11A3"	"Q12"	"Q13A"	"Q13B"	"Q13_COM"	"Q13COM1"	"Q13COM2"	"Q13COM3"	"Q14"	"Q14A"	"Q14A1"	"Q14A2"	"Q14A3"	"Q15"	"SFFLAG"	"COUNTRY"	"Q17"	"AGE"	"Q18"	"Q19"	"INC"	"MAIL"	"LANG"	"DESTMARK"	"DESTINATION"	"DESTGEO"	"WEIGHT"	"Location.1"	"Q7_text_All"
"11"	"160"	1	2	1	25	1	21	2	2	1	8	NA	NA	NA	NA	4	11	NA	NA	NA	NA	9	2	1	2	4	9.5	2	4	3	3	2	3	3	4	4	2	4	5	3	3	4	51	NA	NA	NA	NA	NA	4	3	4	4	3	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	6	2	2	NA	NA	NA	NA	2	NA	NA	NA	NA	1	12	62	5	49.5	1	2	"75,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	" Signage inside airport confusing/small/hard to find gate or airline"
"12"	"161"	1	2	1	25	1	21	2	2	2	8	NA	NA	NA	NA	5	11	NA	NA	NA	NA	9	1	1	2	3	4.5	2	4	4	4	4	5	5	4	4	6	6	5	6	6	5	NA	NA	NA	NA	NA	NA	5	6	5	6	4	3	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	4	NA	NA	NA	NA	2	NA	NA	NA	NA	1	10	62	2	21	1	3	"125,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	""
"13"	"162"	1	2	2	5	2	32	2	2	2	8	NA	NA	NA	NA	5	11	NA	NA	NA	NA	9	2	1	1	2	2	1	6	3	5	4	4	4	6	6	6	6	5	6	6	3	NA	NA	NA	NA	NA	NA	4	6	5	6	4	3	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	4	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	4	62	4	39.5	1	2	"75,000"	1	1	4	"ATLANTA"	2	1.013018	NA	""
"14"	"163"	1	2	2	5	2	32	2	2	2	8	NA	NA	NA	NA	7	11	NA	NA	NA	NA	9	2	2	1	1	1	1	6	3	6	4	4	6	6	6	6	6	6	6	6	3	NA	NA	NA	NA	NA	NA	3	6	6	6	3	3	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	20	NA	NA	2	NA	NA	NA	NA	6	5	3	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	62	7	75	2	4	"175,000"	1	1	4	"ATLANTA"	2	1.013018	NA	""
"15"	"164"	1	2	2	5	2	32	2	2	2	8	NA	NA	NA	NA	9	11	NA	NA	NA	NA	9	1	1	1	3	4.5	1	6	3	4	5	5	5	6	6	2	6	4	6	3	4	51	9	90	50	NA	NA	4	6	4	3	4	3	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	4	4	3	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	62	4	39.5	2	4	"175,000"	1	1	4	"ATLANTA"	2	1.013018	NA	" Signage inside airport confusing/small/hard to find gate or airline  Signage outside airport confusing/hard to get to airport/difficult to find correct terminal  Need Starbucks/Peets/coffee house type restaurants (both before and after security)   Security/Customs lines/procedures long/inefficient/ineffective"
"16"	"165"	1	2	2	5	2	32	2	2	1	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	2	1	2	6	36	1	6	3	3	4	3	4	6	6	5	4	3	6	3	3	90	NA	NA	NA	NA	NA	4	6	5	6	4	3	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	7	5	4	NA	NA	NA	NA	1	NA	1	NA	NA	2	4	62	3	29.5	1	4	"175,000"	1	1	4	"ATLANTA"	2	1.013018	NA	" Security/Customs lines/procedures long/inefficient/ineffective"
"17"	"166"	1	2	2	5	2	32	2	2	2	8	NA	NA	NA	NA	9	11	NA	NA	NA	NA	9	1	2	1	1	1	1	6	3	6	4	5	6	6	6	1	6	4	6	4	NA	56	NA	NA	51	NA	NA	4	6	4	3	6	3	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	6	4	1	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	62	5	49.5	1	3	"125,000"	1	1	4	"ATLANTA"	2	1.013018	NA	" Signage to/from/on AirTrain/BART should be improved  Signage inside airport confusing/small/hard to find gate or airline"
"36"	"276"	3	1	1	28	2	84	2	2	1	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	2	2	3	4.5	2	3	3	3	3	4	4	3	3	3	6	4	6	6	3	NA	NA	NA	NA	NA	NA	5	6	4	6	3	3	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	""	1	1	4	"CHICAGO"	3	1.592296	NA	""
"18"	"167"	1	2	2	5	2	32	2	2	1	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	2	2	2	3	4.5	1	6	3	3	2	NA	3	6	6	3	3	4	6	3	3	5	NA	NA	51	NA	NA	5	4	4	4	4	5	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	2	3	NA	NA	NA	NA	2	NA	NA	NA	NA	1	12	62	4	39.5	1	2	"75,000"	1	1	4	"ATLANTA"	2	1.013018	NA	" Food is low quality/need better, more, or healthier selections  Signage inside airport confusing/small/hard to find gate or airline"
"19"	"168"	1	2	2	5	2	32	2	2	1	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	2	2	2	3	4.5	1	4	4	3	4	4	5	5	5	5	4	5	4	5	5	NA	NA	NA	NA	NA	NA	4	4	5	4	4	4	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	1	2	NA	6	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	1	12	62	4	39.5	1	2	"75,000"	1	1	4	"ATLANTA"	2	1.013018	NA	""
"20"	"169"	1	2	1	25	1	23	2	2	2	8	NA	NA	NA	NA	7	11	NA	NA	NA	NA	9	2	1	2	1	1	1	6	6	3	4	6	3	6	6	6	6	6	6	6	4	NA	NA	NA	NA	NA	NA	2	6	6	6	6	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	6	5	4	NA	NA	NA	NA	2	NA	NA	NA	NA	2	3	62	5	49.5	2	NA	""	1	1	4	"LOS ANGELES"	1	1.013018	NA	""
"21"	"170"	1	2	1	25	1	23	2	2	1	8	NA	NA	NA	NA	7	11	NA	NA	NA	NA	9	2	1	2	5	18.5	1	4	4	3	3	2	3	2	2	3	6	3	6	1	1	38	34	9	NA	NA	NA	4	6	3	2	3	3	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	6	3	2	NA	NA	NA	NA	2	NA	NA	NA	NA	2	3	62	6	59.5	1	4	"175,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	" Too many flight delays/bad weather/inefficient air traffic control  Rental Car center too far away/difficult to get to/confusing/employees rude  Need Starbucks/Peets/coffee house type restaurants (both before and after security) "
"22"	"171"	1	2	1	25	1	23	2	2	2	8	NA	NA	NA	NA	4	11	NA	NA	NA	NA	9	1	1	2	1	1	1	6	6	1	5	5	5	6	6	6	6	6	6	6	3	5	NA	NA	NA	NA	NA	4	6	6	6	6	4	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	2	3	29.5	2	2	"75,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	" Food is low quality/need better, more, or healthier selections"
"23"	"172"	1	2	1	25	1	23	2	2	3	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	2	2	2	3	4.5	1	6	3	3	5	4	4	6	6	5	6	4	6	6	4	NA	NA	NA	NA	NA	NA	5	6	4	6	4	3	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	9	5	3	NA	NA	NA	NA	2	NA	NA	NA	NA	2	3	62	2	21	1	2	"75,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	""
"24"	"173"	1	2	1	25	1	23	2	2	2	8	NA	NA	NA	NA	4	11	NA	NA	NA	NA	9	2	2	2	3	4.5	1	6	6	5	5	5	5	6	6	6	6	6	6	6	5	NA	NA	NA	NA	NA	NA	5	6	6	6	6	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	3	62	2	21	1	2	"75,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	""
"25"	"174"	1	2	1	25	1	23	2	1	1	8	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	1	2	1	2	2	2	3	4	4	4	4	4	6	6	2	2	NA	6	1	3	NA	NA	NA	NA	NA	NA	5	6	5	3	3	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	11	2	1	NA	1	NA	NA	2	NA	NA	NA	NA	3	4	62	5	49.5	1	4	"175,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	""
"26"	"175"	1	2	1	25	1	23	2	2	3	8	NA	NA	NA	NA	6	11	NA	NA	NA	NA	9	1	1	1	4	9.5	2	2	3	4	4	4	3	2	2	3	6	6	6	6	3	NA	NA	NA	NA	NA	NA	5	6	6	6	5	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	4	3	NA	NA	NA	NA	3	NA	NA	NA	NA	2	3	62	2	21	2	NA	""	1	1	4	"LOS ANGELES"	1	1.013018	NA	""
"27"	"176"	1	2	1	25	1	23	2	2	1	8	NA	NA	NA	NA	8	11	NA	NA	NA	NA	9	1	2	1	4	9.5	2	4	4	3	5	5	5	4	4	5	5	5	6	NA	5	92	NA	NA	NA	NA	NA	4	6	4	6	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	20	7	75	1	4	"175,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	" Bart/ground transportation-Pos comment"
"28"	"177"	1	2	1	25	1	23	2	2	3	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	2	2	1	1	2	3	6	4	4	4	4	6	6	4	6	6	6	6	4	40	NA	NA	NA	NA	NA	5	6	6	6	6	4	NA	NA	NA	5	5	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	4	4	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	62	7	75	1	NA	""	1	1	4	"LOS ANGELES"	1	1.013018	NA	" General positive comments about SFO"
"29"	"178"	1	2	1	25	1	23	2	2	2	8	NA	NA	NA	NA	4	11	NA	NA	NA	NA	9	1	2	1	1	1	2	3	1	1	4	4	4	3	3	4	3	6	6	6	3	9	91	NA	NA	NA	NA	5	6	6	6	3	3	NA	NA	NA	4	2	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	4	3	NA	NA	NA	NA	2	NA	NA	NA	NA	2	3	62	3	29.5	2	3	"125,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	" Need Starbucks/Peets/coffee house type restaurants (both before and after security)   Security/Customs personnel inefficient/rude/not well trained"
"30"	"179"	1	2	1	25	1	23	2	1	2	8	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	1	2	2	3	4.5	2	4	3	3	3	3	4	3	3	6	6	6	6	6	4	51	NA	NA	NA	NA	NA	4	6	6	6	6	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	NA	NA	NA	11	3	2	NA	NA	NA	NA	2	NA	NA	NA	NA	3	3	62	3	29.5	1	2	"75,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	" Signage inside airport confusing/small/hard to find gate or airline"
"31"	"180"	1	2	1	25	1	23	2	2	2	8	NA	NA	NA	NA	5	11	NA	NA	NA	NA	9	1	2	2	1	1	2	4	4	2	NA	4	4	4	4	4	4	4	4	4	4	NA	NA	NA	NA	NA	NA	4	6	6	6	6	3	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	3	1	NA	NA	NA	NA	2	NA	NA	NA	NA	2	3	62	3	29.5	1	1	"25,000"	1	1	4	"LOS ANGELES"	1	1.013018	NA	""
"32"	"181"	1	2	1	25	1	23	2	2	2	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	1	1	2	2	2	6	4	4	3	5	5	4	4	4	4	4	4	4	4	NA	NA	NA	NA	NA	NA	4	4	4	4	4	4	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	1	4	4	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	""	1	1	4	"LOS ANGELES"	1	1.013018	NA	""
"33"	"273"	3	1	1	28	2	84	2	2	3	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	2	2	1	1	1	4	6	6	4	4	4	6	6	3	3	6	3	6	NA	50	70	NA	NA	NA	NA	4	6	6	6	6	3	NA	NA	NA	4	7	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	6	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	1	12	62	8	8	1	NA	""	1	1	4	"CHICAGO"	3	1.592296	NA	" Signage outside airport confusing/hard to get to airport/difficult to find correct terminal  Need more electrical outlets"
"34"	"274"	3	1	1	28	2	84	2	2	1	8	NA	NA	NA	NA	6	11	NA	NA	NA	NA	9	1	1	1	2	2	1	5	5	5	4	5	5	4	4	3	6	6	4	6	5	95	NA	NA	NA	NA	NA	5	5	6	6	5	4	NA	NA	NA	5	5	NA	NA	NA	NA	NA	NA	NA	NA	1	4	4	NA	NA	6	5	4	NA	NA	NA	NA	2	NA	NA	NA	NA	1	12	62	5	49.5	2	4	"175,000"	1	1	4	"CHICAGO"	3	1.592296	NA	" Airlines neg comment"
"35"	"275"	3	1	1	28	2	84	2	1	1	8	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	1	1	2	6	36	1	5	3	5	5	5	4	6	6	5	5	6	5	6	4	95	NA	NA	NA	NA	NA	4	5	6	6	6	4	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	1	5	5	NA	NA	11	5	4	NA	NA	NA	NA	2	NA	NA	NA	NA	3	3	62	6	59.5	NA	4	"175,000"	1	1	4	"CHICAGO"	3	1.592296	NA	" Airlines neg comment"
"37"	"277"	3	1	1	28	2	84	2	1	1	8	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	2	2	2	1	1	2	3	3	3	3	3	3	3	3	6	6	6	6	6	3	NA	NA	NA	NA	NA	NA	3	3	3	3	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	11	3	3	NA	NA	NA	NA	2	NA	NA	NA	NA	3	4	10	7	75	1	3	"125,000"	1	1	4	"CHICAGO"	3	1.592296	NA	""
"38"	"278"	3	1	1	28	2	84	2	1	3	8	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	1	2	1	1	1	2	4	4	4	5	5	5	6	6	5	6	6	6	6	4	NA	NA	NA	NA	NA	NA	5	6	6	6	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	62	6	59.5	2	3	"125,000"	1	1	4	"CHICAGO"	3	1.592296	NA	""
"39"	"279"	3	1	1	28	2	84	2	1	2	8	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	1	2	1	1	1	2	4	4	6	3	3	4	3	3	2	6	6	6	6	3	NA	NA	NA	NA	NA	NA	3	6	6	NA	5	1	3	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	5	NA	NA	NA	NA	NA	""	1	1	4	"CHICAGO"	3	1.592296	NA	""
"40"	"280"	3	1	1	28	2	84	2	2	2	8	NA	NA	NA	NA	4	11	NA	NA	NA	NA	9	1	2	1	1	1	2	3	3	3	4	4	4	6	6	6	6	6	6	6	3	NA	NA	NA	NA	NA	NA	4	6	6	6	4	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	""	1	1	4	"CHICAGO"	3	1.592296	NA	""
"41"	"281"	3	1	1	28	2	84	2	2	2	8	NA	NA	NA	NA	4	11	NA	NA	NA	NA	9	1	2	2	3	4.5	2	6	4	NA	NA	5	5	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	5	5	5	5	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	NA	NA	NA	4	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	20	7	75	1	2	"75,000"	1	1	4	"CHICAGO"	3	1.592296	NA	""
"42"	"282"	3	1	1	28	2	84	2	2	2	8	NA	NA	NA	NA	4	11	NA	NA	NA	NA	9	1	NA	NA	3	4.5	2	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	3	3	3	3	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	20	6	59.5	NA	NA	""	1	1	4	"CHICAGO"	3	1.592296	NA	""
"43"	"283"	3	1	1	28	2	84	2	2	1	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	2	2	2	3	4.5	2	3	2	4	4	1	2	2	3	1	1	4	3	4	4	NA	NA	NA	NA	NA	NA	4	3	4	3	5	2	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	6	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	1	12	62	2	21	1	3	"125,000"	1	1	4	"CHICAGO"	3	1.592296	NA	""
"44"	"284"	3	1	1	28	2	84	2	2	2	8	NA	NA	NA	NA	7	11	NA	NA	NA	NA	9	1	2	2	1	1	2	4	6	6	4	4	6	6	6	6	6	6	6	6	4	95	NA	NA	NA	NA	NA	5	6	6	6	6	5	NA	NA	NA	4	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	3	62	7	75	1	2	"75,000"	1	1	4	"CHICAGO"	3	1.592296	NA	" Airlines neg comment"
