Status,State_Parcel_ID,County_ID,Address,Dir,Street,Type,Full_Address,Zip,Structures,Code_Enforcement_Order,Recent_Hearing_Date,Date_of_Last_Compliance,Last_Compliance_Type,Last_Compliance_Completed_By,X,Y,ESRI_OID
CLOSED,71-09-18-334-005.000-026,018-7093-3342,1744,,Leer,ST,1744 Leer ST,46613,"House, Garage",In Compliance: Outcome Complete,2018/10/16 00:00:00+00,2018/10/16 00:00:00+00,Repaired,Private,-86.229969517,41.656064058,24
CLOSED,71-09-18-352-015.000-026,018-7087-3150,1905,,Leer,ST,1905 Leer ST,46613,"House, Garage",In Compliance: Outcome Complete,2015/10/15 00:00:00+00,2016/08/23 00:00:00+00,Repaired,Private,-86.230681417,41.654606555,25
CLOSED,71-09-18-352-020.000-026,018-7088-3179,1931,,Leer,ST,1931 Leer ST,46613,House,In Compliance: Outcome Complete,,2015/01/21 00:00:00+00,Repaired,Private,-86.230609554,41.653885485,26
CLOSED,71-09-18-354-022.000-026,018-7088-3196,2017,,Leer,ST,2017 Leer ST,46613,House,In Compliance: Outcome Complete,2014/03/18 00:00:00+00,2014/12/12 00:00:00+00,Repaired,Private,-86.230610873,41.6532427660001,27
CLOSED,71-08-02-459-005.000-026,018-1055-2356,425,,Leland,AVE,425 Leland AVE,46601,,In Compliance: Outcome Complete,2013/01/24 00:00:00+00,2013/05/22 00:00:00+00,Demolished,City,-86.2589520449999,41.6814133010001,28
CLOSED,71-08-13-405-006.000-026,018-7046-1806,618,E,Dubail,AVE,618 E Dubail AVE,46613,"House, Fence, Wall",In Compliance: Outcome Complete,2017/08/01 00:00:00+00,2018/05/17 00:00:00+00,Demolished,City,-86.241925736,41.6566614560001,29
CLOSED,71-08-13-181-008.000-026,018-7024-0937,222,E,Haney,AVE,222 E Haney AVE,46613,"Garage, Fence",In Compliance: Outcome Complete,2018/07/17 00:00:00+00,,Demolished,City,-86.247004579,41.658730699,30
CLOSED,71-08-25-229-022.000-002,023-1001-0066,3929,S,Miami,ST,3929 S Miami ST,46614,"House, Garage",In Compliance: Outcome Complete,2018/11/27 00:00:00+00,2019/12/10 00:00:00+00,Repaired,Private,-86.23517315,41.634828186,31
CLOSED,71-08-10-454-020.000-026,018-4007-0246,721,S,Grant,ST,721 S Grant ST,46619,"House, Garage",In Compliance: Outcome Complete,2016/04/12 00:00:00+00,2016/04/12 00:00:00+00,Repaired,Private,-86.2791245669999,41.6677400450001,32
CLOSED,71-08-10-481-003.000-026,018-4004-0130,840,S,Grant,ST,840 S Grant ST,46613,House,In Compliance: Outcome Complete,2014/01/23 00:00:00+00,2014/10/13 00:00:00+00,Demolished,City,-86.2786022929999,41.6655771700001,33
CLOSED,71-08-16-103-003.000-026,018-8144-5179,912,,Greenview,AVE,912 Greenview AVE,46619,"House, Garage",In Compliance: Outcome Complete,2015/12/10 00:00:00+00,2016/02/11 00:00:00+00,Repaired,Private,-86.308741653,41.664023812,34
CLOSED,71-08-16-103-004.000-026,018-8144-5180,916,,Greenview,AVE,916 Greenview AVE,46619,"House, Shed",In Compliance: Outcome Complete,2015/01/06 00:00:00+00,2015/08/31 00:00:00+00,Demolished,City,-86.308740578,41.6638821350001,35
CLOSED,71-08-11-129-005.000-026,018-1026-1162,309,,Hamden,CT,309 Hamden CT,46601,House,In Compliance: Outcome Complete,2011/12/22 00:00:00+00,2014/11/21 00:00:00+00,Demolished,City,-86.264412017,41.6793718540001,36
CLOSED,71-08-11-129-004.000-026,018-1026-1163,313,,Hamden,CT,313 Hamden CT,46619,,In Compliance: Outcome Complete,2011/05/19 00:00:00+00,2013/10/08 00:00:00+00,Demolished,City,-86.2644137779999,41.679467731,37
CLOSED,71-08-11-130-003.000-026,018-1026-1166,316,,Hamden,CT,316 Hamden CT,46601,,In Compliance: Outcome Complete,2009/01/22 00:00:00+00,2014/07/07 00:00:00+00,Repaired,Private,-86.264118593,41.679427552,38
CLOSED,71-08-13-256-009.000-026,018-7027-1073,526,,Haney,AVE,526 Haney AVE,46613,,In Compliance: Outcome Complete,2014/07/29 00:00:00+00,2014/07/29 00:00:00+00,Repaired,Private,-86.243353078,41.6588156500001,39
CLOSED,71-08-13-253-021.000-026,018-7014-0565,529,,Haney,AVE,529 Haney AVE,46613,House,In Compliance: Outcome Complete,2016/12/08 00:00:00+00,2016/12/19 00:00:00+00,Repaired,Private,-86.24321026,41.6594242360001,40
CLOSED,71-08-13-256-012.000-026,018-7027-1068,538,,Haney,AVE,538 Haney AVE,46613,,In Compliance: Outcome Complete,2010/02/09 00:00:00+00,2013/05/14 00:00:00+00,Demolished,Private,-86.242886428,41.6589312930001,41
CLOSED,71-08-13-257-001.000-026,018-7030-1163,602,,Haney,AVE,602 Haney AVE,46615,,In Compliance: Outcome Complete,2011/12/13 00:00:00+00,2013/12/12 00:00:00+00,Repaired,Private,-86.242529039,41.6589420770001,42
CLOSED,71-08-13-254-019.000-026,018-7015-0613,611,E,Haney,AVE,611 E Haney AVE,46613,House,In Compliance: Outcome Complete,2018/04/26 00:00:00+00,2018/12/21 00:00:00+00,Repaired,Private,-86.2422648149999,41.6594502140001,43
CLOSED,71-08-13-257-005.000-026,018-7030-1161,612,,Haney,AVE,612 Haney AVE,46613,,In Compliance: Outcome Complete,2014/07/29 00:00:00+00,2014/12/10 00:00:00+00,Repaired,Private,-86.242227156,41.65884393,44
CLOSED,71-08-03-434-032.000-026,018-2014-0373,639,N,Brookfield,ST,639 N Brookfield ST,46628,"House, Fence",In Compliance: Outcome Complete,2017/07/27 00:00:00+00,2018/04/27 00:00:00+00,Demolished,City,-86.277928194,41.6834567220001,45
CLOSED,71-08-09-407-016.000-026,018-4081-2947,505,S,Illinois,ST,505 S Illinois ST,46619,"House, Shed, Fence",In Compliance: Outcome Complete,2018/01/18 00:00:00+00,2019/05/09 00:00:00+00,Repaired,Private,-86.301200659,41.6698382530001,46
CLOSED,71-08-03-385-001.000-026,018-2070-2579,2430,,Roger,ST,2430 Roger ST,46628,House,In Compliance: Outcome Complete,2012/06/07 00:00:00+00,2015/12/07 00:00:00+00,Repaired,Private,-86.28481591,41.6822070210001,47
CLOSED,71-08-05-451-012.000-026,018-2223-8294,5202,,Roger,ST,5202 Roger ST,46619,House,In Compliance: Outcome Complete,2017/08/24 00:00:00+00,2017/10/11 00:00:00+00,Repaired,Private,-86.3201502379999,41.6824115580001,48
CLOSED,71-03-35-406-014.000-026,018-2162-593601,818,,Roosevelt,ST,818 Roosevelt ST,46616,,In Compliance: Outcome Complete,2012/11/01 00:00:00+00,2014/09/19 00:00:00+00,Demolished,City,-86.262354626,41.698741182,49
CLOSED,71-03-35-329-016.000-026,018-2141-5304,1010,,Roosevelt,ST,1010 Roosevelt ST,46616,,In Compliance: Outcome Complete,2014/05/01 00:00:00+00,2014/11/06 00:00:00+00,Repaired,Private,-86.265060238,41.698708406,50
CLOSED,71-08-13-257-015.000-026,018-7030-1177,1516,,Rush,ST,1516 Rush ST,46613,,In Compliance: Outcome Complete,2013/12/17 00:00:00+00,2014/08/29 00:00:00+00,Demolished,City,-86.242442748,41.6584324040001,51
CLOSED,71-08-10-210-007.000-026,018-2023-0717,114,,Sadie,ST,114 Sadie ST,46628,"House, Garage, Fence",In Compliance: Outcome Complete,2014/12/04 00:00:00+00,2015/10/14 00:00:00+00,Demolished,City,-86.2814116549999,41.6774190630001,52
CLOSED,71-08-10-209-017.000-026,018-2023-0716,115,,Sadie,ST,115 Sadie ST,46628,"House, Antenna",In Compliance: Outcome Complete,,2015/08/31 00:00:00+00,Demolished,City,-86.282008973,41.6774108990001,53
CLOSED,71-08-10-210-004.000-026,018-2023-0711,128,,Sadie,ST,128 Sadie ST,46628,,In Compliance: Outcome Complete,2010/06/03 00:00:00+00,2013/10/21 00:00:00+00,Repaired,Private,-86.2814159339999,41.6776912540001,54
CLOSED,71-08-11-361-029.000-026,018-3080-3191,1319,W,Sample,ST,1319 W Sample ST,46619,House,In Compliance: Outcome Complete,2015/04/21 00:00:00+00,2016/01/25 00:00:00+00,Demolished,City,-86.269305547,41.665211189,55
CLOSED,71-08-11-361-026.000-026,018-3080-3188,1327,W,Sample,ST,1327 W Sample ST,46619,"House, Garage",In Compliance: Outcome Complete,2018/11/06 00:00:00+00,2020/03/05 00:00:00+00,Demolished,City,-86.269604304,41.6652098490001,56
CLOSED,71-08-11-354-016.000-026,018-3083-331801,1537,W,Sample,ST,1537 W Sample ST,46619,House,In Compliance: Outcome Complete,2014/05/08 00:00:00+00,2015/08/31 00:00:00+00,Demolished,City,-86.2733103739999,41.665181015,57
CLOSED,71-08-10-482-020.000-026,018-4002-0075,1819,W,Sample,ST,1819 W Sample ST,46619,"House, Fence, Shed",In Compliance: Outcome Complete,2014/03/06 00:00:00+00,2015/09/16 00:00:00+00,Demolished,City,-86.277336764,41.6651261810001,58
CLOSED,71-08-02-308-007.000-026,018-1039-1695,717,,Sancome,AVE,717 Sancome AVE,46628,,In Compliance: Outcome Complete,2012/11/06 00:00:00+00,2014/09/05 00:00:00+00,Demolished,City,-86.272736715,41.684457121,59
CLOSED,71-08-02-305-015.000-026,018-1078-3251,1405,W,Lincoln,WAY,1405 W Lincoln WAY,46628,"House, Fence",Moved To RSVP,2017/11/14 00:00:00+00,,,,-86.271504509,41.685036283,60
CLOSED,71-08-13-332-001.000-026,018-7043-1678,1804,S,Michigan,,1804 S Michigan ,46613,"House, Garage, Fence",In Compliance: Outcome Complete,2017/09/14 00:00:00+00,2018/05/17 00:00:00+00,Demolished,City,-86.2494966639999,41.655619013,61
ACTIVE,71-08-11-352-019.000-026,018-3085-3448,1513,,DUNHAM,ST,1513 DUNHAM ST,46619,House,Demo Affirmed,2022/03/10 00:00:00+00,,,,-86.272383253,41.6669222690001,62
CLOSED,71-08-24-179-001.000-026,018-7162-5711,2902,S,Michigan,ST,2902 S Michigan ST,46614,Commercial,In Compliance: Outcome Complete,,2018/06/28 00:00:00+00,Repaired,Private,-86.249185865,41.6442738920001,63
CLOSED,71-08-02-476-044.000-026,018-1055-2340,517,,Leland,AVE,517 Leland AVE,46616,House,In Compliance: Outcome Complete,2014/11/13 00:00:00+00,2015/09/18 00:00:00+00,Demolished,City,-86.2587501249999,41.682149569,64
CLOSED,71-08-02-476-039.000-026,018-1054-2325,533,,Leland,AVE,533 Leland AVE,46616,House,In Compliance: Outcome Complete,2013/10/29 00:00:00+00,2014/10/02 00:00:00+00,Demolished,City,,,65
CLOSED,71-08-02-476-037.000-026,018-1056-2410,607,,Leland,AVE,607 Leland AVE,46616,"House, Fence",In Compliance: Outcome Complete,2013/04/25 00:00:00+00,2017/08/23 00:00:00+00,Repaired,Private,-86.258748182,41.6829526940001,66
CLOSED,71-08-02-476-036.000-026,018-1056-2409,611,,Leland,AVE,611 Leland AVE,46616,"House, Fence",In Compliance: Outcome Complete,2014/10/23 00:00:00+00,2016/07/29 00:00:00+00,Repaired,Private,-86.2587508889999,41.68308647,67
CLOSED,71-08-10-156-011.000-026,018-4057-2111,142,,Liberty,ST,142 Liberty ST,46619,,In Compliance: Outcome Complete,2013/01/17 00:00:00+00,2014/08/30 00:00:00+00,Demolished,City,-86.2897859299999,41.6743592760001,68
CLOSED,71-08-10-303-019.000-026,018-4045-1657,417,,Liberty,ST,417 Liberty ST,46619,,In Compliance: Outcome Complete,2012/08/02 00:00:00+00,2014/01/24 00:00:00+00,Repaired,Private,-86.290346472,41.671333992,69
CLOSED,71-08-10-303-021.000-026,018-4045-1659,425,S,Liberty,ST,425 S Liberty ST,46619,House,In Compliance: Outcome Complete,2017/03/07 00:00:00+00,2017/03/07 00:00:00+00,Repaired,Private,-86.290341486,41.6711144700001,70
CLOSED,71-08-10-309-004.000-026,018-4042-1536,514,,Liberty,ST,514 Liberty ST,46619,,In Compliance: Outcome Complete,2014/05/06 00:00:00+00,2014/08/08 00:00:00+00,Repaired,Private,-86.28964747,41.6697109,71
CLOSED,71-08-10-308-026.000-026,018-4045-1678,613,S,Liberty,ST,613 S Liberty ST,46619,House,In Compliance: Outcome Complete,2015/03/10 00:00:00+00,2015/10/14 00:00:00+00,Demolished,City,-86.290283475,41.668720503,72
CLOSED,71-08-10-359-009.000-026,018-4044-1635,832,,Liberty,ST,832 Liberty ST,46619,House,In Compliance: Outcome Complete,2014/01/30 00:00:00+00,2014/12/02 00:00:00+00,Deconstructed,City,-86.289544656,41.6655060420001,73
CLOSED,71-08-12-405-007.000-026,018-3039-1517,701,E,Lincoln,WAY,701 E Lincoln WAY,46618,,In Compliance: Outcome Complete,2013/12/03 00:00:00+00,2014/11/17 00:00:00+00,Demolished,City,-86.2410816989999,41.6697070440001,74
ACTIVE,71-08-12-405-009.000-026,018-3039-1525,709-711,E,LINCOLN,WAY,709-711 E LINCOLN WAY,46618,House,Repair Order,2022/09/22 00:00:00+00,,Occupied & Not Repaired,,-86.240899907,41.669536162,75
CLOSED,71-08-02-452-025.000-026,018-1068-2905,913,W,Lincoln,WAY,913 W Lincoln WAY,46616,"House, Garage",In Compliance: Outcome Complete,2013/05/30 00:00:00+00,2014/10/21 00:00:00+00,Demolished,City,-86.263078025,41.6824873730001,76
CLOSED,71-08-10-432-007.000-026,018-4016-0553,528,S,Brookfield,ST,528 S Brookfield ST,46619,,In Compliance: Outcome Complete,2011/10/04 00:00:00+00,2014/06/20 00:00:00+00,Demolished,City,-86.277432537,41.6694229460001,77
CLOSED,71-08-03-476-009.000-026,018-2009-0115,613,N,Brookfield,ST,613 N Brookfield ST,46628,"House, Garage",In Compliance: Outcome Complete,2014/03/20 00:00:00+00,2015/01/23 00:00:00+00,Demolished,City,-86.27790591,41.682597345,78
CLOSED,71-08-03-434-035.000-026,018-2014-0379,629,N,Brookfield,ST,629 N Brookfield ST,46628,House,In Compliance: Outcome Complete,2014/06/05 00:00:00+00,2015/02/05 00:00:00+00,Demolished,City,-86.277920991,41.683145962,79
CLOSED,71-08-03-434-031.000-026,018-2014-0371,641,N,Brookfield,ST,641 N Brookfield ST,46619,,In Compliance: Outcome Complete,2013/09/10 00:00:00+00,2016/04/28 00:00:00+00,Demolished,City,-86.277930302,41.683547962,80
CLOSED,71-08-03-434-030.000-026,018-2014-0369,643,N,Brookfield,ST,643 N Brookfield ST,46628,"House, Fence",In Compliance: Outcome Complete,2015/03/17 00:00:00+00,2015/03/03 00:00:00+00,Repaired,Private,-86.2779323999999,41.683638171,81
CLOSED,71-08-03-434-029.000-026,018-2014-0367,645,N,Brookfield,ST,645 N Brookfield ST,46628,"House, Garage",In Compliance: Outcome Complete,2014/03/13 00:00:00+00,2016/02/06 00:00:00+00,Demolished,City,-86.277934508,41.6837294110001,82
CLOSED,71-08-03-434-028.000-026,018-2014-0365,647,N,Brookfield,ST,647 N Brookfield ST,46628,,In Compliance: Outcome Complete,2013/08/28 00:00:00+00,2014/06/20 00:00:00+00,Demolished,City,-86.2779366189999,41.6838209920001,83
CLOSED,71-08-03-434-025.000-026,018-2014-0359,705,N,Brookfield,ST,705 N Brookfield ST,46628,House,In Compliance: Outcome Complete,2011/03/17 00:00:00+00,2013/11/21 00:00:00+00,Repaired,Private,-86.277942846,41.6840905930001,84
CLOSED,71-08-10-476-013.000-026,018-4006-0212,705,S,Brookfield,ST,705 S Brookfield ST,46619,House,In Compliance: Outcome Complete,2014/06/19 00:00:00+00,2015/09/16 00:00:00+00,Demolished,City,-86.278028369,41.668211119,85
CLOSED,71-08-03-434-024.000-026,018-2014-0357,707,N,Brookfield,ST,707 N Brookfield ST,46628,,In Compliance: Outcome Complete,2013/01/15 00:00:00+00,2014/05/23 00:00:00+00,Demolished,City,-86.277944998,41.684183546,86
CLOSED,71-08-03-434-023.000-026,018-2014-0355,709,N,Brookfield,ST,709 N Brookfield ST,46628,,In Compliance: Outcome Complete,2013/04/09 00:00:00+00,2014/05/23 00:00:00+00,Demolished,City,-86.277947103,41.684274444,87
CLOSED,71-08-10-477-004.000-026,018-4006-0221,714,S,Brookfield,ST,714 S Brookfield ST,46619,"House, Garage",In Compliance: Outcome Complete,2015/02/05 00:00:00+00,2015/04/02 00:00:00+00,Repaired,Private,-86.277401604,41.6679905500001,88
CLOSED,71-08-10-476-015.000-026,018-4006-0220,717,S,Brookfield,ST,717 S Brookfield ST,46619,,In Compliance: Outcome Complete,2010/07/08 00:00:00+00,2014/12/31 00:00:00+00,Repaired,Private,-86.278021955,41.66798434,89
CLOSED,71-08-02-454-039.000-026,018-1055-2351,519,N,Scott,ST,519 N Scott ST,46616,"House, Fence",In Compliance: Outcome Complete,2019/02/14 00:00:00+00,2020/03/05 00:00:00+00,Demolished,Private,-86.260042544,41.6817786060001,90
CLOSED,71-09-07-102-008.000-026,018-5040-1405,1251,E,LaSalle,AVE,1251 E LaSalle AVE,46617,"House, Garage",In Compliance: Outcome Complete,2019/01/15 00:00:00+00,2021/05/27 00:00:00+00,Repaired,Private,-86.231120404,41.6795157440001,91
CLOSED,71-08-02-332-013.000-026,018-1076-3210,718,,Allen,ST,718 Allen ST,46616,"House, Fence",In Compliance: Outcome Complete,2018/08/09 00:00:00+00,2020/03/05 00:00:00+00,Demolished,City,-86.265715705,41.684571786,92
CLOSED,71-08-02-408-006.000-026,018-1069-2925,750,,Cottage Grove,AVE,750 Cottage Grove AVE,46616,"House, Garage",In Compliance: Outcome Complete,2018/04/10 00:00:00+00,,Repaired,Private,-86.262125834,41.6856552780001,93
ACTIVE,71-08-13-383-022.000-026,018-7040-1619,225,E,EWING,AVE,225 E EWING AVE,46613,House,Demo Affirmed,2021/07/01 00:00:00+00,,,,-86.246562244,41.6509958510001,94
CLOSED,71-08-14-480-020.000-026,018-8046-1816,2205,S,William,ST,2205 S William ST,46613,"House, Garage",In Compliance: Outcome Complete,2018/04/03 00:00:00+00,2018/06/28 00:00:00+00,Repaired,Private,-86.2562835639999,41.6514117570001,95
CLOSED,71-08-02-310-007.000-026,018-1039-1705,718,,Sancome,AVE,718 Sancome AVE,46628,,In Compliance: Outcome Complete,2011/10/27 00:00:00+00,2014/06/13 00:00:00+00,Demolished,City,-86.272241955,41.6841538850001,96
CLOSED,71-08-02-302-005.000-026,018-1082-3417,806,,Sancome,AVE,806 Sancome AVE,46628,,In Compliance: Outcome Complete,2013/02/05 00:00:00+00,2014/09/19 00:00:00+00,Demolished,City,-86.272020364,41.686260615,97
CLOSED,71-08-02-301-014.000-026,018-1083-3464,809,,Sancome,AVE,809 Sancome AVE,46628,"House, Garage",In Compliance: Outcome Complete,2014/04/24 00:00:00+00,2015/04/03 00:00:00+00,Demolished,City,-86.2726894469999,41.686384742,98
CLOSED,71-08-02-302-003.000-026,018-1082-3415,812,,Sancome,AVE,812 Sancome AVE,46628,"House, Garage",In Compliance: Outcome Complete,2014/12/11 00:00:00+00,2015/10/14 00:00:00+00,Demolished,City,-86.272022527,41.686446243,99
CLOSED,71-08-11-156-001.000-026,018-3073-2873,316,,Scholum,ST,316 Scholum ST,46619,House,In Compliance: Outcome Complete,2013/10/10 00:00:00+00,2015/09/16 00:00:00+00,Demolished,City,-86.273023086,41.6728634840001,100
CLOSED,71-08-02-476-022.000-026,018-1055-2336,528,N,Scott,ST,528 N Scott ST,46616,"House, Garage",In Compliance: Outcome Complete,2014/05/01 00:00:00+00,2015/01/12 00:00:00+00,Repaired,Private,-86.259366923,41.682127575,101
CLOSED,71-08-02-454-034.000-026,018-1054-2318,531,N,Scott,ST,531 N Scott ST,46616,"House, Garage",In Compliance: Outcome Complete,,2015/10/02 00:00:00+00,Demolished,City,-86.260181974,41.6823684610001,102
CLOSED,71-08-02-476-009.000-026,018-1056-2399,618,N,Scott,ST,618 N Scott ST,46616,House,In Compliance: Outcome Complete,2015/02/10 00:00:00+00,2017/07/07 00:00:00+00,Repaired,Private,-86.259395116,41.6833430030001,103
CLOSED,71-08-02-454-026.000-026,018-1056-2384,621,N,Scott,ST,621 N Scott ST,46616,,In Compliance: Outcome Complete,2014/04/22 00:00:00+00,2015/11/16 00:00:00+00,Repaired,Private,-86.260204296,41.683451823,104
CLOSED,71-08-02-454-023.000-026,018-1056-2381,639,N,Scott,ST,639 N Scott ST,46616,,In Compliance: Outcome Complete,2012/10/04 00:00:00+00,2014/04/04 00:00:00+00,Demolished,City,-86.260066323,41.6837827210001,105
CLOSED,71-08-02-430-007.000-026,018-1057-2426,722,N,Scott,ST,722 N Scott ST,46616,,In Compliance: Outcome Complete,,2014/04/25 00:00:00+00,Demolished,City,-86.259433327,41.6848488530001,106
CLOSED,71-08-14-404-014.000-026,018-8031-1356,1617,S,Scott,ST,1617 S Scott ST,46613,"House, Garage",In Compliance: Outcome Complete,2015/03/10 00:00:00+00,2015/03/18 00:00:00+00,Repaired,Private,-86.259159025,41.6571076720001,107
CLOSED,71-08-14-410-021.000-026,018-8031-1365,1707,S,Scott,ST,1707 S Scott ST,46613,"House, Garage, Fence",In Compliance: Outcome Complete,2014/03/20 00:00:00+00,2015/09/16 00:00:00+00,Demolished,City,-86.2591386029999,41.6560765900001,108
CLOSED,71-08-03-253-001.000-026,018-2092-3442,1150,,Huey,ST,1150 Huey ST,46628,House,In Compliance: Outcome Complete,,2018/08/24 00:00:00+00,Repaired,Private,-86.280951127,41.690647475,109
CLOSED,71-08-10-426-023.000-026-,018-4013-0444-,435,S,Brookfield,ST,435 S Brookfield ST,46619,House,Moved To RSVP,2017/11/07 00:00:00+00,,,,,,110
CLOSED,71-08-02-382-003.000-026,018-1034-1472,1016,W,Lincoln,WAY,1016 W Lincoln WAY,46616,,In Compliance: Outcome Complete,2012/10/04 00:00:00+00,2013/12/16 00:00:00+00,Demolished,City,-86.264263569,41.682258324,111
CLOSED,71-08-02-334-017.000-026,018-1074-3112,1029,W,Lincoln,WAY,1029 W Lincoln WAY,46616,,In Compliance: Outcome Complete,2012/01/24 00:00:00+00,2013/05/22 00:00:00+00,Demolished,City,-86.265087194,41.6830038430001,112
