Lon,Lat,OBJECTID,Ownership,Pole_Num_1,Service,Bulb_Type,Wattage,Lumens,Mast_Arm,Photo_Cont,Luminaire_,Hand_Hold,Extra_Info,Inspection,Inspect_Date,Inspect_Time,Pole_Manuf,Pole_Model,Light_Manu,Light_Mode,POINT_X,POINT_Y,Fixture,Fixture_Model,Bracket,Banner_Arms,Address,Banner_Size,Pole_Number,Pole_Prefix,Pole_Suffix,Pole_Type,Pole_Suff_Seq,Owner_Asset,Light_Presence,created_user,created_date,last_edited_user,last_edited_date
-86.2877872995475,41.6771046154969,3038,AEP,J257-0174,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:11:39am,,,, ,158406.476555,2342320.64978,,,,,,,J257-0174,,,Wood,4037,-3,Existing,,,RBOYLES,2016-06-21T14:26:42.000Z
-86.2859101237056,41.6741024151833,3039,AEP,J257-0653,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:14:26am,,,, ,158911.42589,2341223.00912,,,,,,,J257-0653,,,Wood,4038,-3,Existing,,,RBOYLES,2016-06-21T14:09:59.000Z
-86.2890118278138,41.6741722602359,3040,AEP,J257-0654,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,09:46:33am,,,, ,158064.240202,2341254.56428,,,,,,,J257-0654,,,Wood,4039,-3,Existing,,,RBOYLES,2016-06-21T13:37:38.000Z
-86.2913390851348,41.6741777098914,3041,AEP,J257-0655,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,09:35:15am,,,, ,157428.460689,2341261.15036,,,,,,,J257-0655,,,Wood,4040,-3,Existing,,,RBOYLES,2016-06-21T13:21:32.000Z
-86.2900684064092,41.6748544526272,3042,AEP,J257-0656,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,09:43:22am,,,, ,157777.387039,2341505.22977,,,,,,,J257-0656,,,Wood,4041,-3,Existing,,,RBOYLES,2016-06-21T13:24:42.000Z
-86.2862442232806,41.6776982588689,3043,AEP,J257-0754,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:31:39am,,,, ,158829.573012,2342533.92809,,,,,,,J257-0754,,,Wood,4042,-3,,,,,
-86.286221900952,41.6778697136367,3044,AEP,J257-0755,Overhead,Blue - Mercury Vapor,40 - 400 Watts,"S - 22,000 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:32:49am,,,, ,158836.120154,2342596.3595,,,,,,,J257-0755,,,Wood,4043,-3,,,,,
-86.2862960459967,41.6785257664687,3045,AEP,J257-0781,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:40:33am,,,, ,158817.584505,2342835.55928,,,,,,,J257-0781,,,Wood,4044,-3,,,,,
-86.2857927802964,41.6757262400376,3046,AEP,J257-0948,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:23:52am,,,, ,158947.734611,2341814.4721,,,,,,,J257-0948,,,Wood,4045,-3,Existing,,,RBOYLES,2016-06-21T14:07:11.000Z
-86.2924611007384,41.6756868517465,3047,AEP,J257-0980,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,09:53:52am,,,, ,157125.925627,2341813.27956,,,,,,,J???-4046,J257,0,Wood,4046,-3,,,,,
-86.286956148438,41.6764642566269,3048,AEP,J257-0986,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:25:34am,,,, ,158631.852657,2342085.67838,,,,,,,J257-0986,,,Wood,4047,-3,Existing,,,RBOYLES,2016-06-21T14:27:21.000Z
-86.2852579969827,41.6864529757537,3049,AEP,J282-1231,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,11:00:55am,,,, ,159121.894028,2345722.06217,,,,,,,J282-1231,,,Wood,4048,-3,,,,,
-86.2851677551084,41.6847062308909,3050,AEP,J282-1349,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,10:53:57am,,,, ,159141.97358,2345085.40075,,,,,,,J282-1349,,,Wood,4049,-3,,,,,
-86.2868065102541,41.684473002677,3051,AEP,J282-1441,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,11:08:30am,,,, ,158693.735808,2345003.63397,,,,,,,J282-1441,,,Wood,4050,-3,,,,,
-86.2892831484555,41.685097194642,3052,AEP,J282-1658,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,11:13:41am,,,, ,158018.883487,2345235.9583,,,,,,,J282-1658,,,Wood,4051,-3,,,,,
-86.2873457693941,41.6846855453411,3053,AEP,J282-1694,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,11:09:50am,,,, ,158546.994581,2345082.1418,,,,,,,J282-1694,,,Wood,4052,-3,,,,,
-86.2881573469432,41.6846615122281,3054,AEP,J282-1695,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,11:11:29am,,,, ,158325.249133,2345074.98287,,,,,,,J282-1695,,,Wood,4053,-3,,,,,
-86.2858294495902,41.6864289547372,3055,AEP,J282-1697,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,10:59:53am,,,, ,158965.743176,2345714.43075,,,,,,,J282-1697,,,Wood,4054,-3,,,,,
-86.2863897762926,41.6851573650358,3056,AEP,J282-0414,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,street light & utility pole,CB-JP,,10:55:52am,,,, ,158809.361087,2345252.185,,,,,,,J282-0414,,,Wood,4055,-3,,,,,
-86.2892516174746,41.684751657356,3057,AEP,J282-0424,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,11:12:55am,,,, ,158026.586384,2345109.98832,,,,,,,J282-0424,,,Wood,4056,-3,,,,,
-86.2864244658223,41.684787894301,3058,AEP,J282-0425,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,10:55:04am,,,, ,158798.917008,2345117.6245,,,,,,,J282-0425,,,Wood,4057,-3,,,,,
-86.2864670224832,41.6864150952467,3059,AEP,J282-0427,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,10:58:53am,,,, ,158791.558417,2345710.63277,,,,,,,J282-0427,,,Wood,4058,-3,,,,,
-86.3017314010817,41.7012699823549,3060,AEP,J208-0425,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,05:31:25am,,,, ,154662.112243,2351153.87957,,,,,,,J???-4059,J208,0,Wood,4059,-3,,,,,
-86.2994220802192,41.6976491627684,3061,AEP,J208-0421,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,05:56:25am,,,, ,155283.048169,2349829.86852,,,,,,,J208-0421,,,Wood,4060,-3,,,,,
-86.3009860807592,41.7081176782385,3062,AEP,J208-0001,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,Yes,No,No,,KB-TP,,04:20:37am,,,, ,154884.023073,2353647.5742,,,,,,,J208-0001,,,Wood,4061,-3,,,,,
-86.3039833402273,41.6944480176948,3063,AEP,J208-0101,Overhead,Yellow - H.P. Sodium,40 - 400 Watts,"D - 50,000 Lumens",No,No,No,No,,KB-TP,,04:57:15am,,,, ,154028.75857,2348672.60671,,,,,,,J208-0101,,,Wood,4062,-3,,,,,
-86.3024487781225,41.6939914470016,3064,AEP,J208-0104,Overhead,Yellow - H.P. Sodium,40 - 400 Watts,"D - 50,000 Lumens",No,No,Yes,No,,KB-TP,,04:55:23am,,,, ,154446.633236,2348503.14254,,,,,,,J208-0104,,,Wood,4063,-3,,,,,
-86.3020399157767,41.6938640492359,3065,AEP,J208-0106,Overhead,Yellow - H.P. Sodium,40 - 400 Watts,"D - 50,000 Lumens",No,No,No,No,,KB-TP,,04:53:34am,,,, ,154557.95541,2348455.89693,,,,,,,J208-0106,,,Wood,4064,-3,,,,,
-86.2939711055053,41.7081276420928,3066,AEP,J208-0116,Overhead,Yellow - H.P. Sodium,20 - 200 Watts,"S - 22,000 Lumens",No,No,No,No,,KB-TP,,04:28:40am,,,, ,156799.495176,2353637.17316,,,,,,,J208-0116,,,Wood,4065,-3,,,,,
-86.29374192702,41.7021643488489,3067,AEP,J208-0129,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,04:35:13am,,,, ,156846.25014,2351463.78578,,,,,,,J208-0129,,,Wood,4066,-3,,,,,
-86.2937309846341,41.7015790958033,3068,AEP,J208-0130,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,04:37:37am,,,, ,156847.685335,2351250.50702,,,,,,,J208-0130,,,Wood,4067,-3,,,,,
-86.2937083299654,41.7008422308251,3069,AEP,J208-0132,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,Yes,No,,KB-TP,,04:38:06am,,,, ,156851.916988,2350981.95995,,,,,,,J208-0132,,,Wood,4068,-3,,,,,
-86.2936920928978,41.6999735640785,3070,AEP,J208-0133,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,04:40:22am,,,, ,156854.04671,2350665.39932,,,,,,,J208-0133,,,Wood,4069,-3,,,,,
-86.2936771247825,41.6995274717298,3071,AEP,J208-0134,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,04:40:49am,,,, ,156856.950926,2350502.82052,,,,,,,J208-0134,,,Wood,4070,-3,,,,,
-86.2936704758313,41.6987363740355,3072,AEP,J208-0136,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,04:42:12am,,,, ,156856.668056,2350214.54409,,,,,,,J208-0136,,,Wood,4071,-3,,,,,
-86.2936503415291,41.6980018827331,3073,AEP,J208-0137,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,Yes,No,,KB-TP,,04:44:06am,,,, ,156860.218235,2349946.86704,,,,,,,J208-0137,,,Wood,4072,-3,,,,,
-86.2936343086224,41.6974225653086,3074,AEP,J208-0138,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,04:45:26am,,,, ,156863.060207,2349735.74106,,,,,,,J208-0138,,,Wood,4073,-3,,,,,
-86.2936146791298,41.6968631486926,3075,AEP,J208-0140,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,Yes,No,,KB-TP,,04:47:17am,,,, ,156866.937009,2349531.85962,,,,,,,J208-0140,,,Wood,4074,-3,,,,,
-86.2936067592228,41.696184843434,3076,AEP,J208-0141,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,04:48:33am,,,, ,156867.301057,2349284.68049,,,,,,,J208-0141,,,Wood,4075,-3,,,,,
-86.293587566271,41.6955221050066,3077,AEP,J208-0142,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,04:48:56am,,,, ,156870.784948,2349043.15086,,,,,,,J208-0142,,,Wood,4076,-3,,,,,
-86.2935759854832,41.6948819073646,3078,AEP,J208-0144,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,04:52:44am,,,, ,156872.249761,2348809.85042,,,,,,,J208-0144,,,Wood,4077,-3,,,,,
-86.2935647660535,41.6942321285527,3079,AEP,J208-0145,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,04:54:03am,,,, ,156873.590466,2348573.05919,,,,,,,J208-0145,,,Wood,4078,-3,,,,,
-86.2980218757204,41.7081358054685,3080,AEP,J208-0166,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,Yes,No,No,,KB-TP,,04:24:29am,,,, ,155693.450653,2353648.23126,,,,,,,J208-0166,,,Wood,4079,-3,,,,,
-86.2995332033266,41.708111269215,3081,AEP,J208-0168,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,Yes,No,No,,KB-TP,,04:21:04am,,,, ,155280.715591,2353642.31981,,,,,,,J208-0168,,,Wood,4080,-3,,,,,
-86.3018348389,41.6953530290876,3082,AEP,J208-0212,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,Yes,No,No,2 lights,KB-TP,,08:47:57am,,,, ,154617.965285,2348998.04396,,,,,,,J208-0212,,,Wood,4081,-3,,,,,
-86.3006615039182,41.6953645024869,3083,AEP,J208-0220,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,08:10:49am,,,, ,154938.439576,2348999.86407,,,,,,,J208-0220,,,Wood,4082,-3,,,,,
-86.3002123144722,41.6953699167145,3084,AEP,J208-0221,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,08:24:27am,,,, ,155061.130067,2349000.93427,,,,,,,J208-0221,,,Wood,4083,-3,,,,,
-86.2994463978281,41.6953784322535,3085,AEP,J208-0222,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,08:14:35am,,,, ,155270.328542,2349002.49939,,,,,,,J208-0222,,,Wood,4084,-3,,,,,
-86.2988977741639,41.6953900557837,3086,AEP,J208-0223,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,08:22:53am,,,, ,155420.191309,2349005.6345,,,,,,,J208-0223,,,Wood,4085,-3,,,,,
-86.3031292924142,41.7002918852478,3087,AEP,J208-0023,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,05:28:52am,,,, ,154277.742116,2350800.29441,,,,,,,J208-0023,,,Wood,4086,-3,,,,,
-86.303115597235,41.6994709987924,3088,AEP,J208-0025,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,05:27:28am,,,, ,154279.27156,2350501.1486,,,,,,,J208-0025,,,Wood,4087,-3,,,,,
-86.2996782379325,41.6972162991139,3089,AEP,J208-0259,Overhead,Yellow - H.P. Sodium,20 - 200 Watts,"S - 22,000 Lumens",No,No,No,No,,KB-TP,,05:43:44am,,,, ,155211.933377,2349672.65384,,,,,,,J208-0259,,,Wood,4088,-3,,,,,
-86.303114218957,41.698964711556,3090,AEP,J208-0026,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,05:25:55am,,,, ,154278.284936,2350316.66296,,,,,,,J208-0026,,,Wood,4089,-3,,,,,
-86.299586306276,41.6937605409855,3091,AEP,J208-0261,Overhead,Yellow - H.P. Sodium,20 - 200 Watts,"S - 22,000 Lumens",No,No,No,No,,KB-TP,,08:17:35am,,,, ,155227.786651,2348413.24664,,,,,,,J208-0261,,,Wood,4090,-3,,,,,
-86.2984015878727,41.6953942340484,3092,AEP,J208-0262,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,Yes,No,,KB-TP,,08:20:22am,,,, ,155555.713315,2349006.16294,,,,,,,J208-0262,,,Wood,4091,-3,,,,,
-86.2983316426525,41.6937587031619,3093,AEP,J208-0264,Overhead,Yellow - H.P. Sodium,20 - 200 Watts,"S - 22,000 Lumens",No,No,No,No,,KB-TP,,08:18:28am,,,, ,155570.445139,2348410.06184,,,,,,,J208-0264,,,Wood,4092,-3,,,,,
-86.3030781373062,41.6982133004743,3094,AEP,J208-0028,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,05:37:41am,,,, ,154286.115285,2350042.78789,,,,,,,J208-0028,,,Wood,4093,-3,,,,,
-86.2961327081118,41.6953727387442,3095,AEP,J208-0282,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,06:02:46am,,,, ,156175.297922,2348993.79384,,,,,,,J208-0282,,,Wood,4094,-3,,,,,
-86.297294639582,41.6953816218684,3096,AEP,J208-0284,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,08:07:18am,,,, ,155857.99256,2348999.35188,,,,,,,J208-0284,,,Wood,4095,-3,,,,,
-86.3042613969215,41.6950723435196,3097,AEP,J208-0295,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,Yes,No,No,2 lights,KB-TP,,08:48:53am,,,, ,153954.502841,2348900.66319,,,,,,,J208-0295,,,Wood,4096,-3,,,,,
-86.303058100251,41.697401412097,3098,AEP,J208-0030,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,Yes,No,2 lights,KB-TP,,08:38:39am,,,, ,154289.401089,2349746.90803,,,,,,,J208-0030,,,Wood,4097,-3,,,,,
-86.2971337577915,41.6937655052316,3099,AEP,J208-0306,Overhead,Yellow - H.P. Sodium,20 - 200 Watts,"S - 22,000 Lumens",No,No,No,No,,KB-TP,,06:06:57am,,,, ,155897.619929,2348410.14339,,,,,,,J208-0306,,,Wood,4098,-3,,,,,
-86.2971744144105,41.6972559313723,3100,AEP,J208-0307,Overhead,Yellow - H.P. Sodium,20 - 200 Watts,"S - 22,000 Lumens",No,No,No,No,,KB-TP,,05:46:31am,,,, ,155895.826282,2349682.07981,,,,,,,J208-0307,,,Wood,4099,-3,,,,,
-86.298408080733,41.697229319165,3101,AEP,J208-0310,Overhead,Yellow - H.P. Sodium,20 - 200 Watts,"S - 22,000 Lumens",No,No,No,No,,KB-TP,,05:45:24am,,,, ,155558.844495,2349674.85147,,,,,,,J208-0310,,,Wood,4100,-3,,,,,
-86.2963402783501,41.6972669217915,3102,AEP,J208-0313,Overhead,Yellow - H.P. Sodium,20 - 200 Watts,"S - 22,000 Lumens",No,No,No,No,,KB-TP,,05:48:09am,,,, ,156123.655293,2349684.41797,,,,,,,J208-0313,,,Wood,4101,-3,,,,,
-86.296243141457,41.6937707910975,3103,AEP,J208-0314,Overhead,Yellow - H.P. Sodium,20 - 200 Watts,"S - 22,000 Lumens",No,No,No,No,,KB-TP,,06:04:30am,,,, ,156140.871458,2348410.29025,,,,,,,J208-0314,,,Wood,4102,-3,,,,,
-86.3030443892255,41.6965798140108,3104,AEP,J208-0032,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,08:37:55am,,,, ,154290.933745,2349447.5031,,,,,,,J208-0032,,,Wood,4103,-3,,,,,
-86.2956781357911,41.6937726757592,3105,AEP,J208-0322,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,Yes,No,,KB-TP,,08:27:17am,,,, ,156295.186217,2348409.84984,,,,,,,J208-0322,,,Wood,4104,-3,,,,,
-86.303016790186,41.6960489887527,3106,AEP,J208-0033,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,08:36:35am,,,, ,154297.042059,2349254.02318,,,,,,,J208-0033,,,Wood,4105,-3,,,,,
-86.3030051833781,41.6953582523764,3107,AEP,J208-0035,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,08:36:03am,,,, ,154298.352163,2349002.30661,,,,,,,J208-0035,,,Wood,4106,-3,,,,,
-86.304272856475,41.6960380002134,3108,AEP,J208-0354,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,Yes,No,No,2 lights,KB-TP,,08:52:22am,,,, ,153953.977972,2349252.55623,,,,,,,J208-0354,,,Wood,4107,-3,,,,,
-86.3042814446713,41.6967367412611,3109,AEP,J208-0355,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,Yes,No,No,2 lights,KB-TP,,08:54:06am,,,, ,153953.51746,2349507.18356,,,,,,,J208-0355,,,Wood,4108,-3,,,,,
-86.3042937255759,41.6973736463005,3110,AEP,J208-0356,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,Yes,No,No,,KB-TP,,08:57:17am,,,, ,153951.881665,2349739.28633,,,,,,,J208-0356,,,Wood,4109,-3,,,,,
-86.3029961263899,41.6946251363021,3111,AEP,J208-0037,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,Yes,No,,KB-TP,,08:33:14am,,,, ,154298.852193,2348735.15273,,,,,,,J208-0037,,,Wood,4110,-3,,,,,
-86.3029327481009,41.6941468038205,3112,AEP,J208-0038,Overhead,Yellow - H.P. Sodium,40 - 400 Watts,"D - 50,000 Lumens",No,No,No,No,,KB-TP,,04:56:32am,,,, ,154314.873915,2348560.72817,,,,,,,J208-0038,,,Wood,4111,-3,,,,,
-86.3000541288724,41.7012739601477,3113,AEP,J208-0392,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,Yes,No,,KB-TP,,05:33:53am,,,, ,155120.152241,2351151.95602,,,,,,,J208-0392,,,Wood,4112,-3,,,,,
-86.3028286994562,41.708085850119,3114,AEP,J208-0004,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,Yes,No,No,,KB-TP,,04:16:03am,,,, ,154380.808566,2353639.68804,,,,,,,J208-0004,,,Wood,4113,-3,,,,,
-86.3024292808785,41.6973077544079,3115,AEP,J208-0040,Overhead,Yellow - H.P. Sodium,20 - 200 Watts,"S - 22,000 Lumens",No,Yes,No,No,,KB-TP,,05:40:40am,,,, ,154460.877497,2349711.51239,,,,,,,J208-0040,,,Wood,4114,-3,,,,,
-86.2941329574705,41.6985684621158,3116,AEP,J208-0407,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,Yes,No,,KB-TP,,05:09:00am,,,, ,156729.922798,2350154.27947,,,,,,,J208-0407,,,Wood,4115,-3,,,,,
-86.2950857181764,41.698549073324,3117,AEP,J208-0408,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,05:06:11am,,,, ,156469.680508,2350149.11139,,,,,,,J208-0408,,,Wood,4116,-3,,,,,
