date,year,rep,store,paper,paper.type,unit.price,units.sold,total.sale
1/7/2012,2012,Aman,Portland,drawing,pads,10.26,2,20.52
1/7/2012,2012,Arinjay,Portland,watercolor,pad,12.15,1,12.15
1/8/2012,2012,Qiaoli,Portland,watercolor,block,19.34,1,19.34
1/8/2012,2012,Mohit,Davenport,drawing,roll,20.99,1,20.99
1/8/2012,2012,Thomas,Davenport,watercolor,block,19.34,1,19.34
1/8/2012,2012,Ran,Dublin,watercolor,block,19.34,2,38.68
1/8/2012,2012,Patrick,Syracuse,watercolor,pad,12.15,1,12.15
1/8/2012,2012,Patrick,Syracuse,watercolor,pad,12.15,2,24.3
1/8/2012,2012,Yunzhu,Syracuse,watercolor,pad,12.15,2,24.3
1/8/2012,2012,Ran,Dublin,drawing,roll,20.99,1,20.99
1/8/2012,2012,Yunzhu,Syracuse,watercolor,sheet,0.77,9,6.93
1/8/2012,2012,Barakat,Portland,watercolor,roll,97.99,1,97.99
1/8/2012,2012,Qiaoli,Portland,watercolor,pad,12.15,1,12.15
1/9/2012,2012,Barakat,Portland,drawing,journal,24.94,1,24.94
1/9/2012,2012,Aman,Portland,watercolor,pad,12.15,1,12.15
1/9/2012,2012,Ran,Dublin,watercolor,block,19.34,1,19.34
1/9/2012,2012,Qiaoli,Portland,watercolor,pad,12.15,3,36.45
1/9/2012,2012,Yunzhu,Syracuse,watercolor,pad,12.15,1,12.15
1/9/2012,2012,Patrick,Syracuse,drawing,journal,24.94,1,24.94
1/10/2012,2012,Ran,Dublin,watercolor,sheet,0.77,8,6.16
1/10/2012,2012,Yunzhu,Syracuse,watercolor,pad,12.15,1,12.15
1/11/2012,2012,Ran,Dublin,watercolor,pad,12.15,1,12.15
1/11/2012,2012,Arinjay,Portland,watercolor,sheet,0.77,10,7.7
1/11/2012,2012,Yunzhu,Syracuse,drawing,pads,10.26,1,10.26
1/11/2012,2012,Arijit,Syracuse,drawing,journal,24.94,1,24.94
1/12/2012,2012,Ran,Dublin,drawing,journal,24.94,1,24.94
1/12/2012,2012,Ran,Dublin,drawing,pads,10.26,2,20.52
1/12/2012,2012,Thomas,Davenport,drawing,journal,24.94,1,24.94
1/12/2012,2012,Qiaoli,Portland,drawing,journal,24.94,1,24.94
1/12/2012,2012,Qiaoli,Portland,drawing,journal,24.94,1,24.94
1/13/2012,2012,Yunzhu,Syracuse,drawing,journal,24.94,1,24.94
1/13/2012,2012,Thomas,Davenport,drawing,pads,10.26,3,30.78
1/13/2012,2012,Yunzhu,Syracuse,drawing,journal,24.94,1,24.94
1/13/2012,2012,Aman,Portland,drawing,roll,20.99,1,20.99
1/14/2012,2012,Ran,Dublin,watercolor,sheet,0.77,7,5.39
1/14/2012,2012,Thomas,Davenport,drawing,pads,10.26,1,10.26
1/14/2012,2012,Arinjay,Portland,watercolor,pad,12.15,1,12.15
1/14/2012,2012,Ruisi,Dublin,drawing,pads,10.26,1,10.26
1/14/2012,2012,Yunzhu,Syracuse,drawing,journal,24.94,1,24.94
1/14/2012,2012,Yunzhu,Syracuse,watercolor,block,19.34,1,19.34
1/14/2012,2012,Aman,Portland,drawing,roll,20.99,1,20.99
1/14/2012,2012,Ruisi,Dublin,watercolor,block,19.34,1,19.34
1/14/2012,2012,Ruisi,Dublin,watercolor,pad,12.15,1,12.15
1/14/2012,2012,Arijit,Syracuse,drawing,roll,20.99,1,20.99
1/14/2012,2012,Yue,Dublin,watercolor,sheet,0.77,6,4.62
1/15/2012,2012,Patrick,Syracuse,watercolor,pad,12.15,1,12.15
1/15/2012,2012,Ran,Dublin,watercolor,pad,12.15,1,12.15
1/15/2012,2012,Yue,Dublin,watercolor,pad,12.15,1,12.15
1/15/2012,2012,Yunzhu,Syracuse,drawing,pads,10.26,1,10.26
1/15/2012,2012,Ruisi,Dublin,watercolor,roll,97.99,1,97.99
1/16/2012,2012,Barakat,Portland,watercolor,pad,12.15,1,12.15
1/16/2012,2012,Yunzhu,Syracuse,drawing,pads,10.26,1,10.26
1/16/2012,2012,Thomas,Davenport,drawing,pads,10.26,1,10.26
1/16/2012,2012,Arinjay,Portland,watercolor,sheet,0.77,8,6.16
1/16/2012,2012,Ran,Dublin,watercolor,pad,12.15,3,36.45
1/16/2012,2012,Ran,Dublin,watercolor,sheet,0.77,12,9.24
1/17/2012,2012,Ran,Dublin,watercolor,sheet,0.77,12,9.24
1/17/2012,2012,Aman,Portland,watercolor,pad,12.15,1,12.15
1/17/2012,2012,Thomas,Davenport,drawing,pads,10.26,1,10.26
1/17/2012,2012,Aman,Portland,drawing,pads,10.26,2,20.52
1/18/2012,2012,Mohit,Davenport,watercolor,sheet,0.77,8,6.16
1/18/2012,2012,Arijit,Syracuse,watercolor,block,19.34,2,38.68
1/18/2012,2012,Thomas,Davenport,drawing,journal,24.94,1,24.94
1/18/2012,2012,Aman,Portland,watercolor,pad,12.15,1,12.15
1/19/2012,2012,Ruisi,Dublin,watercolor,pad,12.15,1,12.15
1/19/2012,2012,Patrick,Syracuse,watercolor,pad,12.15,1,12.15
1/19/2012,2012,Thomas,Davenport,drawing,journal,24.94,1,24.94
1/19/2012,2012,Thomas,Davenport,drawing,pads,10.26,1,10.26
1/19/2012,2012,Arinjay,Portland,watercolor,pad,12.15,1,12.15
1/19/2012,2012,Yunzhu,Syracuse,watercolor,pad,12.15,1,12.15
1/19/2012,2012,Arijit,Syracuse,watercolor,pad,12.15,1,12.15
1/20/2012,2012,Yunzhu,Syracuse,watercolor,sheet,0.77,12,9.24
1/20/2012,2012,Aman,Portland,drawing,pads,10.26,1,10.26
1/21/2012,2012,Qiaoli,Portland,watercolor,sheet,0.77,6,4.62
1/21/2012,2012,Patrick,Syracuse,watercolor,roll,97.99,1,97.99
1/21/2012,2012,Ruisi,Dublin,watercolor,sheet,0.77,6,4.62
1/21/2012,2012,Qiaoli,Portland,watercolor,block,19.34,1,19.34
1/21/2012,2012,Ruisi,Dublin,drawing,journal,24.94,1,24.94
1/22/2012,2012,Qiaoli,Portland,drawing,roll,20.99,1,20.99
1/22/2012,2012,Qiaoli,Portland,watercolor,pad,12.15,2,24.3
1/22/2012,2012,Arijit,Syracuse,drawing,journal,24.94,1,24.94
1/24/2012,2012,Arijit,Syracuse,watercolor,pad,12.15,1,12.15
1/25/2012,2012,Barakat,Portland,drawing,journal,24.94,1,24.94
1/25/2012,2012,Ruisi,Dublin,watercolor,pad,12.15,1,12.15
1/25/2012,2012,Qiaoli,Portland,watercolor,pad,12.15,1,12.15
1/25/2012,2012,Patrick,Syracuse,drawing,journal,24.94,1,24.94
1/25/2012,2012,Barakat,Portland,watercolor,block,19.34,1,19.34
1/26/2012,2012,Mohit,Davenport,drawing,pads,10.26,2,20.52
1/26/2012,2012,Barakat,Portland,watercolor,pad,12.15,2,24.3
1/26/2012,2012,Aman,Portland,watercolor,block,19.34,1,19.34
1/26/2012,2012,Yunzhu,Syracuse,watercolor,sheet,0.77,4,3.08
1/26/2012,2012,Ran,Dublin,watercolor,pad,12.15,2,24.3
1/27/2012,2012,Barakat,Portland,watercolor,pad,12.15,1,12.15
1/27/2012,2012,Qiaoli,Portland,drawing,journal,24.94,1,24.94
1/27/2012,2012,Patrick,Syracuse,watercolor,sheet,0.77,10,7.7
1/27/2012,2012,Yunzhu,Syracuse,watercolor,sheet,0.77,4,3.08
1/28/2012,2012,Ruisi,Dublin,watercolor,pad,12.15,2,24.3
1/28/2012,2012,Qiaoli,Portland,watercolor,pad,12.15,1,12.15
1/28/2012,2012,Ran,Dublin,watercolor,pad,12.15,3,36.45
1/28/2012,2012,Qiaoli,Portland,drawing,journal,24.94,1,24.94
1/28/2012,2012,Ran,Dublin,watercolor,block,19.34,1,19.34
1/28/2012,2012,Patrick,Syracuse,drawing,journal,24.94,1,24.94
1/28/2012,2012,Patrick,Syracuse,watercolor,pad,12.15,3,36.45
1/28/2012,2012,Ruisi,Dublin,watercolor,block,19.34,2,38.68
1/29/2012,2012,Ran,Dublin,watercolor,sheet,0.77,6,4.62
1/29/2012,2012,Ruisi,Dublin,drawing,pads,10.26,2,20.52
1/29/2012,2012,Arijit,Syracuse,watercolor,block,19.34,1,19.34
1/29/2012,2012,Patrick,Syracuse,watercolor,block,19.34,1,19.34
1/29/2012,2012,Patrick,Syracuse,drawing,pads,10.26,2,20.52
1/29/2012,2012,Barakat,Portland,watercolor,pad,12.15,1,12.15
1/29/2012,2012,Barakat,Portland,watercolor,block,19.34,1,19.34
1/29/2012,2012,Ruisi,Dublin,watercolor,pad,12.15,3,36.45
1/29/2012,2012,Mohit,Davenport,watercolor,sheet,0.77,4,3.08
1/30/2012,2012,Qiaoli,Portland,watercolor,pad,12.15,2,24.3
1/30/2012,2012,Arinjay,Portland,watercolor,block,19.34,1,19.34
1/30/2012,2012,Patrick,Syracuse,drawing,pads,10.26,1,10.26
1/31/2012,2012,Mohit,Davenport,watercolor,pad,12.15,1,12.15
1/31/2012,2012,Patrick,Syracuse,watercolor,block,19.34,1,19.34
2/1/2012,2012,Aman,Portland,drawing,pads,10.26,2,20.52
2/1/2012,2012,Aman,Portland,drawing,journal,24.94,1,24.94
2/2/2012,2012,Yue,Dublin,watercolor,block,19.34,1,19.34
2/2/2012,2012,Thomas,Davenport,drawing,pads,10.26,2,20.52
2/3/2012,2012,Ran,Dublin,watercolor,block,19.34,1,19.34
2/3/2012,2012,Barakat,Portland,drawing,journal,24.94,1,24.94
2/4/2012,2012,Mohit,Davenport,watercolor,pad,12.15,1,12.15
2/4/2012,2012,Yue,Dublin,watercolor,sheet,0.77,6,4.62
2/4/2012,2012,Ruisi,Dublin,drawing,journal,24.94,1,24.94
2/4/2012,2012,Thomas,Davenport,drawing,pads,10.26,1,10.26
2/4/2012,2012,Qiaoli,Portland,watercolor,pad,12.15,1,12.15
2/4/2012,2012,Aman,Portland,watercolor,pad,12.15,1,12.15
2/4/2012,2012,Ruisi,Dublin,watercolor,block,19.34,2,38.68
2/4/2012,2012,Ran,Dublin,drawing,journal,24.94,1,24.94
2/4/2012,2012,Yue,Dublin,watercolor,pad,12.15,3,36.45
2/5/2012,2012,Qiaoli,Portland,watercolor,pad,12.15,1,12.15
2/5/2012,2012,Yunzhu,Syracuse,watercolor,block,19.34,1,19.34
2/5/2012,2012,Mohit,Davenport,watercolor,pad,12.15,1,12.15
2/5/2012,2012,Arijit,Syracuse,watercolor,block,19.34,1,19.34
2/5/2012,2012,Arijit,Syracuse,watercolor,pad,12.15,1,12.15
2/5/2012,2012,Aman,Portland,drawing,journal,24.94,1,24.94
2/5/2012,2012,Patrick,Syracuse,drawing,journal,24.94,1,24.94
2/5/2012,2012,Thomas,Davenport,drawing,journal,24.94,1,24.94
2/5/2012,2012,Ran,Dublin,watercolor,block,19.34,2,38.68
2/5/2012,2012,Barakat,Portland,watercolor,pad,12.15,3,36.45
2/6/2012,2012,Yunzhu,Syracuse,watercolor,block,19.34,1,19.34
2/6/2012,2012,Aman,Portland,watercolor,pad,12.15,1,12.15
2/6/2012,2012,Yue,Dublin,drawing,roll,20.99,2,41.98
2/7/2012,2012,Ruisi,Dublin,watercolor,pad,12.15,1,12.15
2/7/2012,2012,Ruisi,Dublin,watercolor,block,19.34,1,19.34
2/7/2012,2012,Yunzhu,Syracuse,watercolor,sheet,0.77,5,3.85
2/7/2012,2012,Barakat,Portland,drawing,journal,24.94,1,24.94
2/7/2012,2012,Ran,Dublin,drawing,pads,10.26,1,10.26
2/7/2012,2012,Mohit,Davenport,watercolor,pad,12.15,2,24.3
2/7/2012,2012,Ruisi,Dublin,watercolor,block,19.34,1,19.34
2/8/2012,2012,Thomas,Davenport,drawing,pads,10.26,3,30.78
2/8/2012,2012,Qiaoli,Portland,watercolor,pad,12.15,1,12.15
2/8/2012,2012,Ran,Dublin,watercolor,pad,12.15,2,24.3
2/8/2012,2012,Mohit,Davenport,drawing,pads,10.26,1,10.26
2/8/2012,2012,Ran,Dublin,watercolor,pad,12.15,2,24.3
2/8/2012,2012,Patrick,Syracuse,drawing,journal,24.94,1,24.94
2/8/2012,2012,Thomas,Davenport,drawing,pads,10.26,3,30.78
2/8/2012,2012,Yunzhu,Syracuse,drawing,pads,10.26,1,10.26
2/9/2012,2012,Aman,Portland,drawing,journal,24.94,2,49.88
2/9/2012,2012,Ran,Dublin,watercolor,sheet,0.77,9,6.93
2/9/2012,2012,Qiaoli,Portland,watercolor,pad,12.15,1,12.15
2/10/2012,2012,Ran,Dublin,drawing,pads,10.26,1,10.26
2/10/2012,2012,Thomas,Davenport,watercolor,block,19.34,1,19.34
2/10/2012,2012,Barakat,Portland,drawing,roll,20.99,1,20.99
2/10/2012,2012,Arijit,Syracuse,watercolor,pad,12.15,1,12.15
2/11/2012,2012,Arijit,Syracuse,drawing,pads,10.26,1,10.26
2/11/2012,2012,Patrick,Syracuse,watercolor,block,19.34,1,19.34
2/11/2012,2012,Arinjay,Portland,watercolor,block,19.34,1,19.34
2/11/2012,2012,Ran,Dublin,watercolor,sheet,0.77,11,8.47
2/11/2012,2012,Ruisi,Dublin,watercolor,sheet,0.77,9,6.93
2/11/2012,2012,Ran,Dublin,watercolor,pad,12.15,1,12.15
2/11/2012,2012,Thomas,Davenport,drawing,roll,20.99,1,20.99
2/11/2012,2012,Aman,Portland,drawing,roll,20.99,1,20.99
2/11/2012,2012,Mohit,Davenport,drawing,pads,10.26,2,20.52
2/11/2012,2012,Yunzhu,Syracuse,watercolor,block,19.34,1,19.34
2/11/2012,2012,Thomas,Davenport,watercolor,sheet,0.77,8,6.16
2/12/2012,2012,Thomas,Davenport,drawing,pads,10.26,1,10.26
2/12/2012,2012,Patrick,Syracuse,watercolor,block,19.34,1,19.34
2/12/2012,2012,Barakat,Portland,drawing,pads,10.26,1,10.26
2/12/2012,2012,Qiaoli,Portland,watercolor,pad,12.15,1,12.15
2/12/2012,2012,Yue,Dublin,watercolor,pad,12.15,1,12.15
2/12/2012,2012,Barakat,Portland,watercolor,block,19.34,1,19.34
2/12/2012,2012,Ran,Dublin,watercolor,block,19.34,1,19.34
2/13/2012,2012,Aman,Portland,watercolor,pad,12.15,3,36.45
2/13/2012,2012,Arinjay,Portland,watercolor,pad,12.15,2,24.3
2/13/2012,2012,Patrick,Syracuse,drawing,pads,10.26,1,10.26
2/13/2012,2012,Aman,Portland,watercolor,pad,12.15,1,12.15
2/14/2012,2012,Aman,Portland,drawing,journal,24.94,2,49.88
2/14/2012,2012,Patrick,Syracuse,drawing,journal,24.94,1,24.94
2/14/2012,2012,Patrick,Syracuse,watercolor,pad,12.15,1,12.15
2/14/2012,2012,Arinjay,Portland,drawing,journal,24.94,2,49.88
2/14/2012,2012,Qiaoli,Portland,watercolor,sheet,0.77,8,6.16
2/14/2012,2012,Yunzhu,Syracuse,drawing,pads,10.26,2,20.52
2/14/2012,2012,Barakat,Portland,watercolor,pad,12.15,1,12.15
2/14/2012,2012,Arijit,Syracuse,watercolor,pad,12.15,1,12.15
2/15/2012,2012,Qiaoli,Portland,watercolor,sheet,0.77,7,5.39
2/15/2012,2012,Ruisi,Dublin,watercolor,pad,12.15,1,12.15
2/15/2012,2012,Qiaoli,Portland,watercolor,pad,12.15,1,12.15
2/16/2012,2012,Qiaoli,Portland,watercolor,pad,12.15,2,24.3
2/16/2012,2012,Ran,Dublin,watercolor,pad,12.15,1,12.15
2/16/2012,2012,Yunzhu,Syracuse,watercolor,sheet,0.77,7,5.39
2/16/2012,2012,Mohit,Davenport,drawing,pads,10.26,1,10.26
2/16/2012,2012,Patrick,Syracuse,watercolor,sheet,0.77,5,3.85
2/17/2012,2012,Ran,Dublin,drawing,pads,10.26,1,10.26
2/17/2012,2012,Yunzhu,Syracuse,drawing,roll,20.99,1,20.99
2/17/2012,2012,Arinjay,Portland,watercolor,pad,12.15,2,24.3
2/17/2012,2012,Thomas,Davenport,drawing,pads,10.26,1,10.26
2/18/2012,2012,Ran,Dublin,watercolor,pad,12.15,1,12.15
2/18/2012,2012,Yunzhu,Syracuse,watercolor,sheet,0.77,6,4.62
2/18/2012,2012,Ruisi,Dublin,watercolor,block,19.34,1,19.34
2/18/2012,2012,Yue,Dublin,watercolor,pad,12.15,1,12.15
2/18/2012,2012,Barakat,Portland,watercolor,block,19.34,1,19.34
2/18/2012,2012,Barakat,Portland,watercolor,block,19.34,1,19.34
2/19/2012,2012,Arijit,Syracuse,drawing,pads,10.26,1,10.26
2/19/2012,2012,Arinjay,Portland,watercolor,pad,12.15,2,24.3
2/19/2012,2012,Yue,Dublin,drawing,roll,20.99,1,20.99
2/19/2012,2012,Arijit,Syracuse,drawing,journal,24.94,1,24.94
2/19/2012,2012,Ruisi,Dublin,watercolor,sheet,0.77,8,6.16
2/19/2012,2012,Arijit,Syracuse,watercolor,pad,12.15,1,12.15
2/19/2012,2012,Ran,Dublin,watercolor,sheet,0.77,11,8.47
2/19/2012,2012,Aman,Portland,drawing,journal,24.94,1,24.94
2/20/2012,2012,Patrick,Syracuse,drawing,pads,10.26,2,20.52
2/20/2012,2012,Arinjay,Portland,watercolor,sheet,0.77,12,9.24
2/20/2012,2012,Patrick,Syracuse,drawing,journal,24.94,1,24.94
2/20/2012,2012,Yunzhu,Syracuse,drawing,roll,20.99,1,20.99
2/20/2012,2012,Barakat,Portland,drawing,journal,24.94,1,24.94
2/20/2012,2012,Thomas,Davenport,drawing,journal,24.94,1,24.94
2/20/2012,2012,Yue,Dublin,watercolor,pad,12.15,1,12.15
2/21/2012,2012,Yunzhu,Syracuse,watercolor,pad,12.15,1,12.15
2/21/2012,2012,Aman,Portland,watercolor,block,19.34,1,19.34
2/21/2012,2012,Aman,Portland,watercolor,block,19.34,1,19.34
2/22/2012,2012,Aman,Portland,watercolor,block,19.34,1,19.34
2/22/2012,2012,Patrick,Syracuse,watercolor,pad,12.15,2,24.3
2/22/2012,2012,Aman,Portland,watercolor,pad,12.15,1,12.15
2/22/2012,2012,Arijit,Syracuse,watercolor,sheet,0.77,11,8.47
2/22/2012,2012,Qiaoli,Portland,drawing,pads,10.26,1,10.26
2/22/2012,2012,Ran,Dublin,drawing,journal,24.94,2,49.88
2/22/2012,2012,Patrick,Syracuse,drawing,journal,24.94,1,24.94
2/22/2012,2012,Arinjay,Portland,drawing,roll,20.99,1,20.99
2/22/2012,2012,Ran,Dublin,watercolor,pad,12.15,2,24.3
2/23/2012,2012,Ran,Dublin,watercolor,pad,12.15,1,12.15
2/23/2012,2012,Thomas,Davenport,drawing,roll,20.99,1,20.99
2/23/2012,2012,Mohit,Davenport,drawing,roll,20.99,2,41.98
2/23/2012,2012,Arijit,Syracuse,watercolor,block,19.34,1,19.34
2/23/2012,2012,Arinjay,Portland,watercolor,block,19.34,1,19.34
2/23/2012,2012,Ran,Dublin,drawing,journal,24.94,1,24.94
2/23/2012,2012,Aman,Portland,watercolor,roll,97.99,1,97.99
2/24/2012,2012,Thomas,Davenport,drawing,pads,10.26,1,10.26
2/24/2012,2012,Thomas,Davenport,drawing,pads,10.26,1,10.26
2/24/2012,2012,Yunzhu,Syracuse,watercolor,pad,12.15,2,24.3
2/25/2012,2012,Mohit,Davenport,drawing,pads,10.26,2,20.52
2/25/2012,2012,Ran,Dublin,watercolor,block,19.34,1,19.34
2/25/2012,2012,Yunzhu,Syracuse,watercolor,pad,12.15,1,12.15
2/25/2012,2012,Arinjay,Portland,watercolor,pad,12.15,2,24.3
2/25/2012,2012,Yunzhu,Syracuse,drawing,roll,20.99,1,20.99
2/25/2012,2012,Ruisi,Dublin,watercolor,pad,12.15,2,24.3
2/25/2012,2012,Thomas,Davenport,watercolor,pad,12.15,2,24.3
2/25/2012,2012,Patrick,Syracuse,watercolor,block,19.34,2,38.68
2/25/2012,2012,Yunzhu,Syracuse,drawing,journal,24.94,1,24.94
2/25/2012,2012,Patrick,Syracuse,drawing,sheet,0.36,16,5.76
2/25/2012,2012,Aman,Portland,watercolor,pad,12.15,1,12.15
2/25/2012,2012,Arinjay,Portland,drawing,pads,10.26,1,10.26
2/25/2012,2012,Arinjay,Portland,drawing,pads,10.26,2,20.52
2/25/2012,2012,Ran,Dublin,watercolor,block,19.34,1,19.34
2/25/2012,2012,Barakat,Portland,watercolor,block,19.34,2,38.68
2/25/2012,2012,Yunzhu,Syracuse,watercolor,block,19.34,1,19.34
2/25/2012,2012,Yunzhu,Syracuse,watercolor,sheet,0.77,7,5.39
2/25/2012,2012,Ruisi,Dublin,watercolor,sheet,0.77,15,11.55
2/25/2012,2012,Yunzhu,Syracuse,drawing,roll,20.99,1,20.99
2/26/2012,2012,Thomas,Davenport,drawing,journal,24.94,1,24.94
2/26/2012,2012,Yue,Dublin,watercolor,roll,97.99,1,97.99
2/26/2012,2012,Barakat,Portland,watercolor,block,19.34,1,19.34
2/26/2012,2012,Ran,Dublin,drawing,pads,10.26,2,20.52
2/26/2012,2012,Thomas,Davenport,drawing,pads,10.26,2,20.52
2/26/2012,2012,Ran,Dublin,watercolor,pad,12.15,2,24.3
2/26/2012,2012,Ruisi,Dublin,watercolor,pad,12.15,1,12.15
2/26/2012,2012,Patrick,Syracuse,watercolor,pad,12.15,3,36.45
2/26/2012,2012,Thomas,Davenport,drawing,journal,24.94,1,24.94
2/26/2012,2012,Aman,Portland,watercolor,block,19.34,1,19.34
2/26/2012,2012,Patrick,Syracuse,watercolor,sheet,0.77,8,6.16
2/26/2012,2012,Barakat,Portland,watercolor,block,19.34,1,19.34
2/26/2012,2012,Ran,Dublin,watercolor,pad,12.15,1,12.15
2/26/2012,2012,Thomas,Davenport,watercolor,block,19.34,1,19.34
2/27/2012,2012,Mohit,Davenport,watercolor,roll,97.99,1,97.99
2/27/2012,2012,Aman,Portland,watercolor,pad,12.15,1,12.15
2/28/2012,2012,Arijit,Syracuse,watercolor,pad,12.15,2,24.3
2/28/2012,2012,Thomas,Davenport,watercolor,block,19.34,1,19.34
2/29/2012,2012,Qiaoli,Portland,watercolor,block,19.34,2,38.68
2/29/2012,2012,Ran,Dublin,watercolor,block,19.34,2,38.68
2/29/2012,2012,Barakat,Portland,watercolor,roll,97.99,1,97.99
2/29/2012,2012,Mohit,Davenport,drawing,journal,24.94,1,24.94
2/29/2012,2012,Patrick,Syracuse,drawing,roll,20.99,2,41.98
3/1/2012,2012,Ruisi,Dublin,drawing,pads,10.26,2,20.52
3/1/2012,2012,Yunzhu,Syracuse,drawing,pads,10.26,6,61.56
3/1/2012,2012,Yunzhu,Syracuse,watercolor,pad,12.15,1,12.15
3/1/2012,2012,Ran,Dublin,drawing,journal,24.94,1,24.94
3/2/2012,2012,Arinjay,Portland,watercolor,pad,12.15,1,12.15
3/2/2012,2012,Arijit,Syracuse,watercolor,block,19.34,1,19.34
3/2/2012,2012,Aman,Portland,watercolor,sheet,0.77,4,3.08
3/2/2012,2012,Ran,Dublin,drawing,sheet,0.36,10,3.6
3/3/2012,2012,Thomas,Davenport,watercolor,pad,12.15,1,12.15
3/3/2012,2012,Ran,Dublin,watercolor,sheet,0.77,9,6.93
3/3/2012,2012,Mohit,Davenport,watercolor,pad,12.15,2,24.3
3/3/2012,2012,Qiaoli,Portland,drawing,pads,10.26,1,10.26
3/3/2012,2012,Yue,Dublin,watercolor,block,19.34,1,19.34
3/3/2012,2012,Arijit,Syracuse,drawing,pads,10.26,2,20.52
3/3/2012,2012,Ran,Dublin,watercolor,sheet,0.77,7,5.39
3/3/2012,2012,Aman,Portland,drawing,pads,10.26,2,20.52
3/3/2012,2012,Ruisi,Dublin,watercolor,pad,12.15,1,12.15
3/3/2012,2012,Mohit,Davenport,drawing,pads,10.26,2,20.52
3/3/2012,2012,Qiaoli,Portland,watercolor,pad,12.15,1,12.15
3/4/2012,2012,Aman,Portland,watercolor,block,19.34,2,38.68
3/4/2012,2012,Qiaoli,Portland,watercolor,pad,12.15,2,24.3
3/4/2012,2012,Aman,Portland,drawing,roll,20.99,1,20.99
3/4/2012,2012,Mohit,Davenport,drawing,journal,24.94,1,24.94
3/4/2012,2012,Thomas,Davenport,watercolor,pad,12.15,3,36.45
3/4/2012,2012,Yunzhu,Syracuse,drawing,journal,24.94,1,24.94
3/4/2012,2012,Patrick,Syracuse,drawing,pads,10.26,1,10.26
3/4/2012,2012,Qiaoli,Portland,drawing,pads,10.26,1,10.26
3/4/2012,2012,Qiaoli,Portland,drawing,pads,10.26,2,20.52
3/4/2012,2012,Ran,Dublin,drawing,pads,10.26,2,20.52
3/4/2012,2012,Yue,Dublin,drawing,sheet,0.36,4,1.44
3/5/2012,2012,Ruisi,Dublin,watercolor,sheet,0.77,6,4.62
3/5/2012,2012,Thomas,Davenport,drawing,journal,24.94,1,24.94
3/5/2012,2012,Barakat,Portland,drawing,pads,10.26,2,20.52
3/5/2012,2012,Ruisi,Dublin,watercolor,pad,12.15,1,12.15
3/6/2012,2012,Barakat,Portland,watercolor,roll,97.99,1,97.99
3/6/2012,2012,Yunzhu,Syracuse,watercolor,sheet,0.77,7,5.39
3/6/2012,2012,Ruisi,Dublin,watercolor,block,19.34,2,38.68
3/6/2012,2012,Mohit,Davenport,drawing,pads,10.26,3,30.78
3/7/2012,2012,Thomas,Davenport,drawing,pads,10.26,1,10.26
3/7/2012,2012,Qiaoli,Portland,drawing,pads,10.26,1,10.26
3/7/2012,2012,Yue,Dublin,watercolor,pad,12.15,1,12.15
3/7/2012,2012,Yunzhu,Syracuse,drawing,pads,10.26,2,20.52
3/7/2012,2012,Barakat,Portland,drawing,pads,10.26,1,10.26
3/7/2012,2012,Aman,Portland,watercolor,pad,12.15,1,12.15
3/8/2012,2012,Thomas,Davenport,watercolor,sheet,0.77,4,3.08
3/8/2012,2012,Ruisi,Dublin,drawing,journal,24.94,1,24.94
3/8/2012,2012,Yunzhu,Syracuse,watercolor,sheet,0.77,6,4.62
3/8/2012,2012,Mohit,Davenport,watercolor,block,19.34,2,38.68
