column_name,available_prior_to_pitch,description
px,No,"the left/right distance, in feet, of the pitch from the middle of the plate as it crossed home plate. The PITCHf/x coordinate system is oriented to the catcher’s/umpire’s perspective, with distances to the right being positive and to the left being negative."
pz,No,the height of the pitch in feet as it crossed the front of home plate.
x0,No,"the distance in feet from home plate where the PITCHf/x system is set to measure the initial parameters. This parameter has been variously set at 40, 50, or 55 feet (and in a few instances 45 feet) from the plate at different times throughout the 2007 season as Sportvision experiments with optimal settings for the PITCHf/x measurements. Sportvision settled on 50 feet in the second half of 2007, and this value of y0=50 feet has been used since. Changes in this parameter impact the values of all other parameters measured at the release point, such as start_speed."
z0,No,"the height, in feet, of the pitch, measured at the initial point."
y0,No,"the distance in feet from home plate where the PITCHf/x system is set to measure the initial parameters. This parameter has been variously set at 40, 50, or 55 feet (and in a few instances 45 feet) from the plate at different times throughout the 2007 season as Sportvision experiments with optimal settings for the PITCHf/x measurements. Sportvision settled on 50 feet in the second half of 2007, and this value of y0=50 feet has been used since. Changes in this parameter impact the values of all other parameters measured at the release point, such as start_speed."
vx0,No,"vx0,vz0,vy0: the velocity of the pitch, in feet per second, in three dimensions, measured at the initial point."
vz0,No,
vy0,No,
ax,No,"ax,az,ay: the acceleration of the pitch, in feet per second per second, in three dimensions, measured at the initial point."
az,No,
ay,No,
break_length,No,"the measurement of the greatest distance, in inches, between the trajectory of the pitch at any point between the release point and the front of home plate, and the straight line path from the release point and the front of home plate, per the MLB Gameday team. John Walsh’s article “In Search of the Sinker” has a good illustration of this parameter."
break_y,No,"the value of the weight at the classification algorithm’s output node corresponding to the most probable pitch type, this value is multiplied by a factor of 1.5 if the pitch is known by MLBAM to be part of the pitcher’s repertoire."
break_angle,No,"the angle, in degrees, from vertical to the straight line path from the release point to where the pitch crossed the front of home plate, as seen from the catcher’s/umpire’s perspective."
pitch_type,No,the most probable pitch type according to a neural net classification algorithm developed by Ross Paul of MLBAM.
type_confidence,No,"the value of the weight at the classification algorithm’s output node corresponding to the most probable pitch type, this value is multiplied by a factor of 1.5 if the pitch is known by MLBAM to be part of the pitcher’s repertoire."
zone,No,"a group identifier for the x,y coordinates of the pitch location into zones"
nasty,No,a metric attempting to quantify the difficulty of hitting this pitch. Not available for all years of the dataset
spin_dir,No,a 360 degree representation of the direction of the spin on the pitch
spin_rate,No,the revolutions per minute of the baseball
cc,No,
on_1b,Yes,player id of the runner on first base
on_2b,Yes,player id of the runner on second base
on_3b,Yes,player id of the runner on third base
runner1_id,,
runner1_start,,
runner1_end,,
runner1_event,,
runner1_score,,
runner1_rbi,,
runner1_earned,,
runner2_id
runner2_start
runner2_end
runner2_event
runner2_score
runner2_rbi
runner2_earned
runner3_id
runner3_start
runner3_end
runner3_event
runner3_score
runner3_rbi
runner3_earned
runner4_id
runner4_start
runner4_end
runner4_event
runner4_score
runner4_rbi
runner4_earned
runner5_id
runner5_start
runner5_end
runner5_event
runner5_score
runner5_rbi
runner5_earned
runner6_id
runner6_start
runner6_end
runner6_event
runner6_score
runner6_rbi
runner6_earned
runner7_id
runner7_start
runner7_end
runner7_event
runner7_score
runner7_rbi
runner7_earned
created_at
added_at
modified_at
modified_by
